entity_id,name,incorporation_date,ip_subnet,mcc_code,account_age_days,is_fraud
train_fraud_C11,Entity_train_fraud_C11,2025-12-20,10.0.1.0/24,5251,55,True
train_fraud_A12,Entity_train_fraud_A12,2025-12-22,10.0.1.0/24,5045,36,True
train_fraud_B12,Entity_train_fraud_B12,2025-12-17,10.0.1.0/24,1731,58,True
train_fraud_C12,Entity_train_fraud_C12,2025-12-18,10.0.1.0/24,5251,40,True
train_fraud_A13,Entity_train_fraud_A13,2025-12-19,10.0.1.0/24,5045,34,True
train_fraud_B13,Entity_train_fraud_B13,2025-12-19,10.0.1.0/24,1731,34,True
train_fraud_C13,Entity_train_fraud_C13,2025-12-20,10.0.1.0/24,5251,53,True
train_fraud_A14,Entity_train_fraud_A14,2025-12-18,10.0.1.0/24,5045,43,True
train_fraud_B14,Entity_train_fraud_B14,2025-12-17,10.0.1.0/24,1731,42,True
train_fraud_C14,Entity_train_fraud_C14,2025-12-19,10.0.1.0/24,5251,37,True
train_legit_cafe0,Entity_train_legit_cafe0,2025-08-08,192.168.0.0/24,5812,248,False
train_legit_bakery0,Entity_train_legit_bakery0,2025-04-20,172.16.0.0/24,5461,456,False
train_legit_dairy0,Entity_train_legit_dairy0,2024-04-20,10.10.0.0/24,5451,563,False
train_legit_cafe1,Entity_train_legit_cafe1,2025-01-27,192.168.1.0/24,5812,741,False
train_legit_bakery1,Entity_train_legit_bakery1,2025-02-07,172.16.1.0/24,5461,866,False
train_legit_dairy1,Entity_train_legit_dairy1,2025-03-02,10.10.1.0/24,5451,517,False
train_legit_cafe2,Entity_train_legit_cafe2,2025-02-13,192.168.2.0/24,5812,361,False
train_legit_bakery2,Entity_train_legit_bakery2,2024-10-26,172.16.2.0/24,5461,303,False
train_legit_dairy2,Entity_train_legit_dairy2,2024-03-03,10.10.2.0/24,5451,669,False
train_legit_cafe3,Entity_train_legit_cafe3,2025-04-24,192.168.3.0/24,5812,719,False
train_legit_bakery3,Entity_train_legit_bakery3,2024-08-08,172.16.3.0/24,5461,503,False
train_legit_dairy3,Entity_train_legit_dairy3,2024-12-19,10.10.3.0/24,5451,782,False
train_legit_cafe4,Entity_train_legit_cafe4,2024-11-21,192.168.4.0/24,5812,531,False
train_legit_bakery4,Entity_train_legit_bakery4,2024-10-08,172.16.4.0/24,5461,319,False
train_legit_dairy4,Entity_train_legit_dairy4,2025-01-09,10.10.4.0/24,5451,771,False
train_legit_cafe5,Entity_train_legit_cafe5,2024-12-07,192.168.5.0/24,5812,280,False
train_legit_bakery5,Entity_train_legit_bakery5,2025-05-03,172.16.5.0/24,5461,797,False
train_legit_dairy5,Entity_train_legit_dairy5,2025-01-31,10.10.5.0/24,5451,945,False
train_legit_cafe6,Entity_train_legit_cafe6,2024-12-27,192.168.6.0/24,5812,633,False
train_legit_bakery6,Entity_train_legit_bakery6,2025-02-27,172.16.6.0/24,5461,852,False
train_legit_dairy6,Entity_train_legit_dairy6,2024-02-15,10.10.6.0/24,5451,605,False
train_legit_cafe7,Entity_train_legit_cafe7,2025-01-02,192.168.7.0/24,5812,662,False
train_legit_bakery7,Entity_train_legit_bakery7,2025-04-15,172.16.7.0/24,5461,553,False
train_legit_dairy7,Entity_train_legit_dairy7,2024-11-12,10.10.7.0/24,5451,465,False
train_legit_cafe8,Entity_train_legit_cafe8,2025-08-18,192.168.8.0/24,5812,260,False
train_legit_bakery8,Entity_train_legit_bakery8,2025-02-18,172.16.8.0/24,5461,369,False
train_legit_dairy8,Entity_train_legit_dairy8,2025-02-19,10.10.8.0/24,5451,738,False
train_legit_cafe9,Entity_train_legit_cafe9,2025-07-18,192.168.9.0/24,5812,784,False
train_legit_bakery9,Entity_train_legit_bakery9,2024-08-24,172.16.9.0/24,5461,784,False
train_legit_dairy9,Entity_train_legit_dairy9,2024-11-03,10.10.9.0/24,5451,884,False
train_legit_cafe10,Entity_train_legit_cafe10,2025-02-25,192.168.10.0/24,5812,678,False
train_legit_bakery10,Entity_train_legit_bakery10,2024-06-07,172.16.10.0/24,5461,355,False
train_legit_dairy10,Entity_train_legit_dairy10,2024-03-28,10.10.10.0/24,5451,500,False
train_legit_cafe11,Entity_train_legit_cafe11,2025-06-18,192.168.11.0/24,5812,749,False
train_legit_bakery11,Entity_train_legit_bakery11,2024-10-29,172.16.11.0/24,5461,443,False
train_legit_dairy11,Entity_train_legit_dairy11,2024-08-03,10.10.11.0/24,5451,587,False
train_legit_cafe12,Entity_train_legit_cafe12,2024-12-16,192.168.12.0/24,5812,300,False
train_legit_bakery12,Entity_train_legit_bakery12,2025-05-21,172.16.12.0/24,5461,853,False
train_legit_dairy12,Entity_train_legit_dairy12,2025-02-28,10.10.12.0/24,5451,495,False
train_legit_cafe13,Entity_train_legit_cafe13,2025-03-02,192.168.13.0/24,5812,260,False
train_legit_bakery13,Entity_train_legit_bakery13,2025-03-23,172.16.13.0/24,5461,688,False
train_legit_dairy13,Entity_train_legit_dairy13,2025-03-06,10.10.13.0/24,5451,799,False
train_legit_cafe14,Entity_train_legit_cafe14,2024-09-14,192.168.14.0/24,5812,769,False
train_legit_bakery14,Entity_train_legit_bakery14,2024-07-12,172.16.14.0/24,5461,798,False
train_legit_dairy14,Entity_train_legit_dairy14,2024-12-18,10.10.14.0/24,5451,594,False
train_legit_cafe15,Entity_train_legit_cafe15,2025-04-16,192.168.15.0/24,5812,258,False
train_legit_bakery15,Entity_train_legit_bakery15,2025-05-21,172.16.15.0/24,5461,898,False
train_legit_dairy15,Entity_train_legit_dairy15,2024-07-06,10.10.15.0/24,5451,914,False
train_legit_cafe16,Entity_train_legit_cafe16,2025-06-20,192.168.16.0/24,5812,270,False
train_legit_bakery16,Entity_train_legit_bakery16,2024-08-15,172.16.16.0/24,5461,369,False
train_legit_dairy16,Entity_train_legit_dairy16,2024-03-27,10.10.16.0/24,5451,640,False
train_legit_cafe17,Entity_train_legit_cafe17,2025-08-13,192.168.17.0/24,5812,629,False
train_legit_bakery17,Entity_train_legit_bakery17,2024-07-14,172.16.17.0/24,5461,897,False
train_legit_dairy17,Entity_train_legit_dairy17,2024-05-22,10.10.17.0/24,5451,935,False
train_legit_cafe18,Entity_train_legit_cafe18,2025-03-05,192.168.18.0/24,5812,334,False
train_legit_bakery18,Entity_train_legit_bakery18,2024-07-07,172.16.18.0/24,5461,607,False
train_legit_dairy18,Entity_train_legit_dairy18,2024-07-16,10.10.18.0/24,5451,723,False
train_legit_cafe19,Entity_train_legit_cafe19,2025-08-03,192.168.19.0/24,5812,275,False
train_legit_bakery19,Entity_train_legit_bakery19,2024-09-13,172.16.19.0/24,5461,518,False
train_legit_dairy19,Entity_train_legit_dairy19,2024-06-21,10.10.19.0/24,5451,671,False
noise_src_1,Entity_noise_src_1,2024-03-24,172.31.1.0/24,5912,1033,False
noise_src_2,Entity_noise_src_2,2023-06-26,172.31.2.0/24,8049,489,False
noise_src_3,Entity_noise_src_3,2023-08-16,172.31.3.0/24,8049,721,False
noise_src_4,Entity_noise_src_4,2023-08-02,172.31.4.0/24,5411,1016,False
noise_src_5,Entity_noise_src_5,2024-08-13,172.31.5.0/24,8049,1134,False
noise_src_6,Entity_noise_src_6,2025-01-29,172.31.6.0/24,5411,450,False
noise_src_7,Entity_noise_src_7,2025-02-26,172.31.7.0/24,5411,940,False
noise_src_8,Entity_noise_src_8,2025-01-07,172.31.8.0/24,8049,458,False
noise_src_9,Entity_noise_src_9,2023-10-05,172.31.9.0/24,5999,395,False
noise_src_10,Entity_noise_src_10,2024-11-19,172.31.10.0/24,5999,883,False
noise_src_11,Entity_noise_src_11,2024-01-15,172.31.11.0/24,5999,680,False
noise_src_12,Entity_noise_src_12,2025-04-24,172.31.12.0/24,5999,274,False
noise_src_13,Entity_noise_src_13,2024-09-05,172.31.13.0/24,7011,225,False
noise_src_14,Entity_noise_src_14,2024-07-09,172.31.14.0/24,5411,969,False
noise_src_15,Entity_noise_src_15,2023-09-02,172.31.15.0/24,5912,1183,False
noise_src_16,Entity_noise_src_16,2025-01-01,172.31.16.0/24,5999,939,False
noise_src_17,Entity_noise_src_17,2023-11-29,172.31.17.0/24,7011,902,False
noise_src_18,Entity_noise_src_18,2023-11-19,172.31.18.0/24,7011,189,False
noise_src_19,Entity_noise_src_19,2025-03-30,172.31.19.0/24,5411,1147,False
noise_src_20,Entity_noise_src_20,2023-12-05,172.31.20.0/24,5912,216,False
noise_src_21,Entity_noise_src_21,2023-10-28,172.31.21.0/24,5999,745,False
noise_src_22,Entity_noise_src_22,2024-04-01,172.31.22.0/24,5912,310,False
noise_src_23,Entity_noise_src_23,2024-08-04,172.31.23.0/24,5411,553,False
noise_src_24,Entity_noise_src_24,2024-06-14,172.31.24.0/24,5411,395,False
noise_src_25,Entity_noise_src_25,2023-08-03,172.31.25.0/24,5912,285,False
noise_src_26,Entity_noise_src_26,2023-04-09,172.31.26.0/24,5999,753,False
noise_src_27,Entity_noise_src_27,2023-09-19,172.31.27.0/24,7011,947,False
noise_src_28,Entity_noise_src_28,2024-10-16,172.31.28.0/24,5912,1065,False
noise_src_29,Entity_noise_src_29,2024-12-16,172.31.29.0/24,5912,1082,False
noise_src_30,Entity_noise_src_30,2025-05-21,172.31.30.0/24,7011,363,False
noise_src_31,Entity_noise_src_31,2024-04-20,172.31.31.0/24,5999,1001,False
noise_src_32,Entity_noise_src_32,2024-09-15,172.31.32.0/24,5912,343,False
noise_src_33,Entity_noise_src_33,2024-05-20,172.31.33.0/24,5411,1073,False
noise_src_34,Entity_noise_src_34,2024-02-20,172.31.34.0/24,5411,407,False
noise_src_35,Entity_noise_src_35,2024-03-01,172.31.35.0/24,5912,538,False
noise_src_36,Entity_noise_src_36,2024-10-25,172.31.36.0/24,5999,408,False
noise_src_37,Entity_noise_src_37,2023-08-10,172.31.37.0/24,5411,377,False
noise_src_38,Entity_noise_src_38,2024-07-14,172.31.38.0/24,7011,465,False
noise_src_39,Entity_noise_src_39,2023-04-16,172.31.39.0/24,5411,465,False
noise_src_40,Entity_noise_src_40,2023-08-29,172.31.40.0/24,5999,701,False
noise_src_41,Entity_noise_src_41,2023-07-21,172.31.41.0/24,7011,1184,False
noise_src_42,Entity_noise_src_42,2024-07-11,172.31.42.0/24,8049,1141,False
noise_src_43,Entity_noise_src_43,2025-02-17,172.31.43.0/24,5411,1078,False
noise_src_44,Entity_noise_src_44,2024-12-15,172.31.44.0/24,5999,774,False
noise_src_45,Entity_noise_src_45,2025-05-07,172.31.45.0/24,5999,291,False
noise_src_46,Entity_noise_src_46,2024-03-28,172.31.46.0/24,8049,533,False
noise_src_47,Entity_noise_src_47,2024-03-26,172.31.47.0/24,5999,800,False
noise_src_48,Entity_noise_src_48,2025-02-17,172.31.48.0/24,8049,574,False
noise_src_49,Entity_noise_src_49,2024-12-03,172.31.49.0/24,8049,440,False
noise_src_50,Entity_noise_src_50,2023-06-21,172.31.50.0/24,5411,626,False
noise_dst_51,Entity_noise_dst_51,2023-12-31,172.31.51.0/24,5411,1127,False
noise_dst_52,Entity_noise_dst_52,2023-07-13,172.31.52.0/24,8049,916,False
noise_dst_53,Entity_noise_dst_53,2024-06-08,172.31.53.0/24,5912,621,False
noise_dst_54,Entity_noise_dst_54,2023-08-05,172.31.54.0/24,5411,1122,False
noise_dst_55,Entity_noise_dst_55,2023-09-16,172.31.55.0/24,5999,501,False
noise_dst_56,Entity_noise_dst_56,2023-06-09,172.31.56.0/24,5411,1101,False
noise_dst_57,Entity_noise_dst_57,2024-01-13,172.31.57.0/24,5999,496,False
noise_dst_58,Entity_noise_dst_58,2024-07-16,172.31.58.0/24,7011,592,False
noise_dst_59,Entity_noise_dst_59,2023-11-26,172.31.59.0/24,5999,310,False
noise_dst_60,Entity_noise_dst_60,2024-04-11,172.31.60.0/24,5912,860,False
noise_dst_61,Entity_noise_dst_61,2023-07-23,172.31.61.0/24,7011,946,False
noise_dst_62,Entity_noise_dst_62,2023-09-24,172.31.62.0/24,5912,762,False
noise_dst_63,Entity_noise_dst_63,2024-04-26,172.31.63.0/24,5999,741,False
noise_dst_64,Entity_noise_dst_64,2024-08-08,172.31.64.0/24,5411,473,False
noise_dst_65,Entity_noise_dst_65,2024-04-01,172.31.65.0/24,5912,984,False
noise_dst_66,Entity_noise_dst_66,2023-10-03,172.31.66.0/24,8049,850,False
noise_dst_67,Entity_noise_dst_67,2024-02-25,172.31.67.0/24,5999,632,False
noise_dst_68,Entity_noise_dst_68,2023-07-25,172.31.68.0/24,7011,398,False
noise_dst_69,Entity_noise_dst_69,2024-02-17,172.31.69.0/24,8049,992,False
noise_dst_70,Entity_noise_dst_70,2023-08-11,172.31.70.0/24,5912,266,False
noise_dst_71,Entity_noise_dst_71,2024-01-05,172.31.71.0/24,5999,859,False
noise_dst_72,Entity_noise_dst_72,2024-07-07,172.31.72.0/24,8049,275,False
noise_dst_73,Entity_noise_dst_73,2023-07-28,172.31.73.0/24,5912,497,False
noise_dst_74,Entity_noise_dst_74,2024-11-24,172.31.74.0/24,5912,330,False
noise_dst_75,Entity_noise_dst_75,2025-04-29,172.31.75.0/24,5411,430,False
noise_dst_76,Entity_noise_dst_76,2023-09-29,172.31.76.0/24,7011,1050,False
noise_dst_77,Entity_noise_dst_77,2024-03-06,172.31.77.0/24,5411,604,False
noise_dst_78,Entity_noise_dst_78,2024-11-28,172.31.78.0/24,8049,915,False
noise_dst_79,Entity_noise_dst_79,2024-01-26,172.31.79.0/24,7011,589,False
noise_dst_80,Entity_noise_dst_80,2025-01-15,172.31.80.0/24,5912,851,False
noise_dst_81,Entity_noise_dst_81,2023-05-09,172.31.81.0/24,5411,1061,False
noise_dst_82,Entity_noise_dst_82,2023-04-10,172.31.82.0/24,5411,615,False
noise_dst_83,Entity_noise_dst_83,2024-12-17,172.31.83.0/24,5912,1003,False
noise_dst_84,Entity_noise_dst_84,2024-02-26,172.31.84.0/24,8049,231,False
noise_dst_85,Entity_noise_dst_85,2024-10-03,172.31.85.0/24,8049,1119,False
noise_dst_86,Entity_noise_dst_86,2024-03-05,172.31.86.0/24,5411,316,False
noise_dst_87,Entity_noise_dst_87,2023-08-02,172.31.87.0/24,7011,723,False
noise_dst_88,Entity_noise_dst_88,2023-10-15,172.31.88.0/24,8049,504,False
noise_dst_89,Entity_noise_dst_89,2023-09-27,172.31.89.0/24,7011,1014,False
noise_dst_90,Entity_noise_dst_90,2024-04-05,172.31.90.0/24,8049,1030,False
noise_dst_91,Entity_noise_dst_91,2024-03-16,172.31.91.0/24,8049,1098,False
noise_dst_92,Entity_noise_dst_92,2023-05-16,172.31.92.0/24,5912,1062,False
noise_dst_93,Entity_noise_dst_93,2024-03-12,172.31.93.0/24,7011,445,False
noise_dst_94,Entity_noise_dst_94,2023-09-02,172.31.94.0/24,5912,463,False
noise_dst_95,Entity_noise_dst_95,2024-02-05,172.31.95.0/24,8049,821,False
noise_dst_96,Entity_noise_dst_96,2024-09-07,172.31.96.0/24,5912,630,False
noise_dst_97,Entity_noise_dst_97,2023-06-16,172.31.97.0/24,5411,472,False
noise_dst_98,Entity_noise_dst_98,2024-09-10,172.31.98.0/24,5912,523,False
noise_dst_99,Entity_noise_dst_99,2023-12-10,172.31.99.0/24,5999,262,False
noise_dst_100,Entity_noise_dst_100,2025-01-12,172.31.100.0/24,5912,416,False
test_fraud_A0,Entity_test_fraud_A0,2025-12-21,10.0.1.0/24,5045,53,True
test_fraud_B0,Entity_test_fraud_B0,2025-12-21,10.0.1.0/24,1731,43,True
test_fraud_C0,Entity_test_fraud_C0,2025-12-20,10.0.1.0/24,5251,54,True
test_fraud_A1,Entity_test_fraud_A1,2025-12-20,10.0.1.0/24,5045,58,True
test_fraud_B1,Entity_test_fraud_B1,2025-12-21,10.0.1.0/24,1731,31,True
test_fraud_C1,Entity_test_fraud_C1,2025-12-19,10.0.1.0/24,5251,55,True
test_fraud_A2,Entity_test_fraud_A2,2025-12-20,10.0.1.0/24,5045,43,True
test_fraud_B2,Entity_test_fraud_B2,2025-12-20,10.0.1.0/24,1731,37,True
test_fraud_C2,Entity_test_fraud_C2,2025-12-18,10.0.1.0/24,5251,43,True
test_fraud_A3,Entity_test_fraud_A3,2025-12-21,10.0.1.0/24,5045,32,True
test_fraud_B3,Entity_test_fraud_B3,2025-12-17,10.0.1.0/24,1731,57,True
test_fraud_C3,Entity_test_fraud_C3,2025-12-19,10.0.1.0/24,5251,49,True
test_fraud_A4,Entity_test_fraud_A4,2025-12-21,10.0.1.0/24,5045,37,True
test_fraud_B4,Entity_test_fraud_B4,2025-12-18,10.0.1.0/24,1731,50,True
test_fraud_C4,Entity_test_fraud_C4,2025-12-19,10.0.1.0/24,5251,44,True
test_legit_cafe0,Entity_test_legit_cafe0,2025-04-29,192.168.0.0/24,5812,759,False
test_legit_bakery0,Entity_test_legit_bakery0,2025-03-27,172.16.0.0/24,5461,375,False
test_legit_dairy0,Entity_test_legit_dairy0,2024-07-24,10.10.0.0/24,5451,753,False
test_legit_cafe1,Entity_test_legit_cafe1,2025-02-02,192.168.1.0/24,5812,509,False
test_legit_bakery1,Entity_test_legit_bakery1,2025-03-06,172.16.1.0/24,5461,693,False
test_legit_dairy1,Entity_test_legit_dairy1,2024-07-03,10.10.1.0/24,5451,509,False
test_legit_cafe2,Entity_test_legit_cafe2,2025-04-25,192.168.2.0/24,5812,222,False
test_legit_bakery2,Entity_test_legit_bakery2,2024-07-13,172.16.2.0/24,5461,705,False
test_legit_dairy2,Entity_test_legit_dairy2,2024-10-18,10.10.2.0/24,5451,408,False
test_legit_cafe3,Entity_test_legit_cafe3,2024-09-07,192.168.3.0/24,5812,708,False
test_legit_bakery3,Entity_test_legit_bakery3,2025-01-20,172.16.3.0/24,5461,535,False
test_legit_dairy3,Entity_test_legit_dairy3,2024-05-01,10.10.3.0/24,5451,760,False
test_legit_cafe4,Entity_test_legit_cafe4,2024-11-06,192.168.4.0/24,5812,240,False
test_legit_bakery4,Entity_test_legit_bakery4,2025-01-08,172.16.4.0/24,5461,751,False
test_legit_dairy4,Entity_test_legit_dairy4,2025-02-18,10.10.4.0/24,5451,993,False
test_legit_cafe5,Entity_test_legit_cafe5,2025-02-23,192.168.5.0/24,5812,379,False
test_legit_bakery5,Entity_test_legit_bakery5,2025-03-05,172.16.5.0/24,5461,435,False
test_legit_dairy5,Entity_test_legit_dairy5,2024-06-04,10.10.5.0/24,5451,774,False
test_legit_cafe6,Entity_test_legit_cafe6,2025-01-20,192.168.6.0/24,5812,502,False
test_legit_bakery6,Entity_test_legit_bakery6,2024-05-29,172.16.6.0/24,5461,646,False
test_legit_dairy6,Entity_test_legit_dairy6,2025-01-08,10.10.6.0/24,5451,879,False
