tx_id,timestamp,from_id,to_id,amount,tx_type
tx_train_fraud_3_2,2026-01-02T20:00:00,train_fraud_B3,train_fraud_C3,75000.0,payout
tx_noise_train_32,2026-01-02T22:00:00,noise_src_32,noise_dst_71,24428.74,collection
tx_train_fraud_5_1,2026-01-03T02:00:00,train_fraud_A5,train_fraud_B5,50000.0,payout
tx_noise_train_22,2026-01-03T02:00:00,noise_src_26,noise_dst_96,3892.22,payout
tx_noise_train_77,2026-01-03T04:00:00,noise_src_49,noise_dst_54,13426.11,payout
tx_train_fraud_4_2,2026-01-03T05:00:00,train_fraud_B4,train_fraud_C4,50000.0,payout
tx_train_fraud_2_3,2026-01-03T07:00:00,train_fraud_C2,train_fraud_A2,200000.0,collection
tx_noise_train_66,2026-01-03T10:00:00,noise_src_2,noise_dst_56,48099.36,payout
tx_noise_train_59,2026-01-03T11:00:00,noise_src_5,noise_dst_94,46203.16,payout
tx_train_fraud_6_1,2026-01-03T12:00:00,train_fraud_A6,train_fraud_B6,200000.0,payout
tx_noise_train_79,2026-01-03T13:00:00,noise_src_41,noise_dst_89,35518.16,collection
tx_noise_train_90,2026-01-03T13:00:00,noise_src_13,noise_dst_95,28632.7,payout
tx_noise_train_17,2026-01-03T13:00:00,noise_src_40,noise_dst_60,6398.43,payout
tx_noise_train_16,2026-01-03T15:00:00,noise_src_49,noise_dst_52,10048.1,payout
tx_noise_train_48,2026-01-03T16:00:00,noise_src_12,noise_dst_54,47059.07,collection
tx_noise_train_13,2026-01-03T16:00:00,noise_src_49,noise_dst_77,41762.05,collection
tx_noise_train_40,2026-01-03T16:00:00,noise_src_18,noise_dst_70,11603.85,payout
tx_train_fraud_5_2,2026-01-03T17:00:00,train_fraud_B5,train_fraud_C5,50000.0,payout
tx_train_fraud_4_3,2026-01-03T19:00:00,train_fraud_C4,train_fraud_A4,50000.0,collection
tx_noise_train_55,2026-01-03T19:00:00,noise_src_41,noise_dst_64,33055.36,payout
tx_noise_train_67,2026-01-03T20:00:00,noise_src_49,noise_dst_94,28854.72,payout
tx_noise_train_86,2026-01-03T20:00:00,noise_src_22,noise_dst_83,41045.42,collection
tx_noise_train_29,2026-01-03T20:00:00,noise_src_47,noise_dst_88,16183.0,payout
tx_noise_train_6,2026-01-03T21:00:00,noise_src_32,noise_dst_65,21848.22,payout
tx_train_fraud_1_3,2026-01-03T21:00:00,train_fraud_C1,train_fraud_A1,75000.0,collection
tx_train_fraud_7_1,2026-01-03T22:00:00,train_fraud_A7,train_fraud_B7,100000.0,payout
tx_noise_train_33,2026-01-03T23:00:00,noise_src_17,noise_dst_72,44027.97,collection
tx_train_fraud_6_2,2026-01-04T00:00:00,train_fraud_B6,train_fraud_C6,200000.0,payout
tx_train_fraud_3_3,2026-01-04T00:00:00,train_fraud_C3,train_fraud_A3,75000.0,collection
tx_noise_train_58,2026-01-04T01:00:00,noise_src_3,noise_dst_65,35377.1,collection
tx_train_fraud_7_2,2026-01-04T01:00:00,train_fraud_B7,train_fraud_C7,100000.0,payout
tx_noise_train_82,2026-01-04T02:00:00,noise_src_32,noise_dst_96,25492.71,collection
tx_noise_train_43,2026-01-04T03:00:00,noise_src_7,noise_dst_63,11451.41,payout
tx_noise_train_37,2026-01-04T03:00:00,noise_src_2,noise_dst_56,11157.66,payout
tx_noise_train_20,2026-01-04T07:00:00,noise_src_50,noise_dst_61,5494.13,payout
tx_train_fraud_8_1,2026-01-04T08:00:00,train_fraud_A8,train_fraud_B8,100000.0,payout
tx_noise_train_73,2026-01-04T08:00:00,noise_src_30,noise_dst_56,12694.7,payout
tx_noise_train_1,2026-01-04T12:00:00,noise_src_27,noise_dst_77,27176.3,collection
tx_train_fraud_8_2,2026-01-04T14:00:00,train_fraud_B8,train_fraud_C8,100000.0,payout
tx_noise_train_24,2026-01-04T16:00:00,noise_src_37,noise_dst_53,26683.99,collection
tx_noise_train_70,2026-01-04T17:00:00,noise_src_6,noise_dst_81,20476.57,collection
tx_train_fraud_9_1,2026-01-04T18:00:00,train_fraud_A9,train_fraud_B9,50000.0,payout
tx_noise_train_3,2026-01-05T01:00:00,noise_src_49,noise_dst_87,23901.29,collection
tx_noise_train_98,2026-01-05T01:00:00,noise_src_44,noise_dst_85,47711.57,collection
tx_noise_train_52,2026-01-05T01:00:00,noise_src_50,noise_dst_84,22580.67,collection
tx_noise_train_11,2026-01-05T01:00:00,noise_src_4,noise_dst_67,16434.9,collection
tx_noise_train_92,2026-01-05T02:00:00,noise_src_46,noise_dst_75,49421.86,payout
tx_noise_train_4,2026-01-05T03:00:00,noise_src_20,noise_dst_99,42687.05,collection
tx_train_fraud_10_1,2026-01-05T04:00:00,train_fraud_A10,train_fraud_B10,100000.0,payout
tx_noise_train_97,2026-01-05T05:00:00,noise_src_40,noise_dst_95,32526.85,collection
tx_noise_train_49,2026-01-05T06:00:00,noise_src_8,noise_dst_55,24638.15,payout
tx_noise_train_72,2026-01-05T06:00:00,noise_src_19,noise_dst_93,40696.95,payout
tx_noise_train_35,2026-01-05T08:00:00,noise_src_16,noise_dst_97,24480.03,payout
tx_train_fraud_5_3,2026-01-05T09:00:00,train_fraud_C5,train_fraud_A5,50000.0,collection
tx_train_fraud_7_3,2026-01-05T09:00:00,train_fraud_C7,train_fraud_A7,100000.0,collection
tx_noise_train_2,2026-01-05T11:00:00,noise_src_4,noise_dst_64,19534.89,payout
tx_noise_train_53,2026-01-05T13:00:00,noise_src_20,noise_dst_88,15338.47,payout
tx_train_fraud_9_2,2026-01-05T14:00:00,train_fraud_B9,train_fraud_C9,50000.0,payout
tx_train_fraud_11_1,2026-01-05T14:00:00,train_fraud_A11,train_fraud_B11,100000.0,payout
tx_noise_train_26,2026-01-05T14:00:00,noise_src_32,noise_dst_57,48043.3,collection
tx_noise_train_65,2026-01-05T14:00:00,noise_src_39,noise_dst_53,36753.24,collection
tx_noise_train_69,2026-01-05T15:00:00,noise_src_12,noise_dst_88,31775.76,collection
tx_noise_train_27,2026-01-05T15:00:00,noise_src_46,noise_dst_60,8889.23,collection
tx_noise_train_30,2026-01-05T19:00:00,noise_src_6,noise_dst_68,12268.79,collection
tx_train_fraud_6_3,2026-01-05T21:00:00,train_fraud_C6,train_fraud_A6,200000.0,collection
tx_noise_train_75,2026-01-05T22:00:00,noise_src_43,noise_dst_85,20721.05,payout
tx_train_fraud_10_2,2026-01-05T22:00:00,train_fraud_B10,train_fraud_C10,100000.0,payout
tx_noise_train_8,2026-01-05T23:00:00,noise_src_47,noise_dst_61,45985.13,payout
tx_noise_train_18,2026-01-05T23:00:00,noise_src_37,noise_dst_64,35003.3,collection
tx_train_fraud_12_1,2026-01-06T00:00:00,train_fraud_A12,train_fraud_B12,75000.0,payout
tx_noise_train_47,2026-01-06T00:00:00,noise_src_37,noise_dst_69,23987.84,collection
tx_noise_train_83,2026-01-06T00:00:00,noise_src_27,noise_dst_81,12262.17,payout
tx_train_fraud_11_2,2026-01-06T03:00:00,train_fraud_B11,train_fraud_C11,100000.0,payout
tx_train_fraud_8_3,2026-01-06T04:00:00,train_fraud_C8,train_fraud_A8,100000.0,collection
tx_noise_train_46,2026-01-06T05:00:00,noise_src_41,noise_dst_99,5219.12,payout
tx_train_fraud_13_1,2026-01-06T10:00:00,train_fraud_A13,train_fraud_B13,200000.0,payout
tx_noise_train_74,2026-01-06T11:00:00,noise_src_50,noise_dst_76,41263.87,payout
tx_noise_train_34,2026-01-06T12:00:00,noise_src_36,noise_dst_51,47408.32,payout
tx_train_fraud_10_3,2026-01-06T15:00:00,train_fraud_C10,train_fraud_A10,100000.0,collection
tx_train_fraud_12_2,2026-01-06T16:00:00,train_fraud_B12,train_fraud_C12,75000.0,payout
tx_noise_train_88,2026-01-06T17:00:00,noise_src_10,noise_dst_79,24268.64,collection
tx_noise_train_64,2026-01-06T18:00:00,noise_src_18,noise_dst_83,24740.38,payout
tx_noise_train_14,2026-01-06T18:00:00,noise_src_2,noise_dst_98,2699.07,collection
tx_noise_train_60,2026-01-06T19:00:00,noise_src_28,noise_dst_58,11317.99,payout
tx_noise_train_89,2026-01-06T19:00:00,noise_src_36,noise_dst_99,18922.78,collection
tx_noise_train_39,2026-01-06T20:00:00,noise_src_28,noise_dst_98,16606.49,collection
tx_train_fraud_14_1,2026-01-06T20:00:00,train_fraud_A14,train_fraud_B14,75000.0,payout
tx_noise_train_56,2026-01-06T21:00:00,noise_src_16,noise_dst_62,3845.74,payout
tx_noise_train_45,2026-01-06T21:00:00,noise_src_3,noise_dst_54,14677.62,payout
tx_noise_train_80,2026-01-06T21:00:00,noise_src_36,noise_dst_51,20458.74,payout
tx_noise_train_51,2026-01-06T22:00:00,noise_src_16,noise_dst_58,38245.73,payout
tx_noise_train_50,2026-01-07T00:00:00,noise_src_10,noise_dst_60,47461.37,payout
tx_noise_train_9,2026-01-07T00:00:00,noise_src_26,noise_dst_88,33183.69,payout
tx_noise_train_62,2026-01-07T01:00:00,noise_src_39,noise_dst_98,46067.51,collection
tx_noise_train_38,2026-01-07T04:00:00,noise_src_20,noise_dst_93,18514.12,collection
tx_train_fraud_13_2,2026-01-07T04:00:00,train_fraud_B13,train_fraud_C13,200000.0,payout
tx_train_fraud_11_3,2026-01-07T04:00:00,train_fraud_C11,train_fraud_A11,100000.0,collection
tx_noise_train_87,2026-01-07T06:00:00,noise_src_47,noise_dst_70,29038.18,collection
tx_train_fraud_9_3,2026-01-07T07:00:00,train_fraud_C9,train_fraud_A9,50000.0,collection
tx_noise_train_84,2026-01-07T09:00:00,noise_src_25,noise_dst_63,25461.22,payout
tx_noise_train_19,2026-01-07T11:00:00,noise_src_11,noise_dst_89,48190.36,payout
tx_train_fraud_14_2,2026-01-07T13:00:00,train_fraud_B14,train_fraud_C14,75000.0,payout
tx_noise_train_99,2026-01-07T14:00:00,noise_src_35,noise_dst_53,3514.2,collection
tx_noise_train_76,2026-01-07T15:00:00,noise_src_34,noise_dst_74,37846.51,collection
tx_noise_train_25,2026-01-07T21:00:00,noise_src_5,noise_dst_83,17127.44,collection
tx_noise_train_36,2026-01-07T21:00:00,noise_src_45,noise_dst_81,35620.94,collection
tx_train_fraud_12_3,2026-01-07T22:00:00,train_fraud_C12,train_fraud_A12,75000.0,collection
tx_noise_train_68,2026-01-07T22:00:00,noise_src_31,noise_dst_84,22167.25,collection
tx_train_fraud_13_3,2026-01-07T23:00:00,train_fraud_C13,train_fraud_A13,200000.0,collection
tx_noise_train_7,2026-01-08T03:00:00,noise_src_25,noise_dst_72,33989.18,collection
tx_noise_train_31,2026-01-08T03:00:00,noise_src_37,noise_dst_90,19011.57,payout
tx_noise_train_21,2026-01-08T05:00:00,noise_src_20,noise_dst_87,45410.5,collection
tx_noise_train_57,2026-01-08T08:00:00,noise_src_27,noise_dst_79,29731.18,collection
tx_noise_train_63,2026-01-08T08:00:00,noise_src_8,noise_dst_80,15274.15,collection
tx_noise_train_78,2026-01-08T10:00:00,noise_src_19,noise_dst_79,24287.12,payout
tx_noise_train_44,2026-01-08T13:00:00,noise_src_20,noise_dst_51,26753.34,collection
tx_noise_train_5,2026-01-08T20:00:00,noise_src_35,noise_dst_98,27352.0,payout
tx_noise_train_42,2026-01-08T21:00:00,noise_src_13,noise_dst_64,24261.51,collection
tx_noise_train_41,2026-01-08T22:00:00,noise_src_21,noise_dst_58,26839.61,payout
tx_train_fraud_14_3,2026-01-09T00:00:00,train_fraud_C14,train_fraud_A14,75000.0,collection
tx_noise_train_12,2026-01-09T02:00:00,noise_src_21,noise_dst_72,43994.04,collection
tx_noise_train_23,2026-01-09T05:00:00,noise_src_7,noise_dst_95,15148.98,payout
tx_noise_train_85,2026-01-09T05:00:00,noise_src_5,noise_dst_68,39521.31,collection
tx_noise_train_28,2026-01-09T06:00:00,noise_src_40,noise_dst_85,24226.53,collection
tx_train_legit_0_1,2026-01-09T08:00:00,train_legit_cafe0,train_legit_bakery0,6544.56,payout
tx_noise_train_96,2026-01-09T08:00:00,noise_src_5,noise_dst_81,48463.26,collection
tx_train_legit_1_1,2026-01-09T16:00:00,train_legit_cafe1,train_legit_bakery1,5771.97,payout
tx_train_legit_2_1,2026-01-10T00:00:00,train_legit_cafe2,train_legit_bakery2,7803.22,payout
tx_train_legit_0_2,2026-01-10T02:00:00,train_legit_bakery0,train_legit_dairy0,2587.43,payout
tx_train_legit_3_1,2026-01-10T08:00:00,train_legit_cafe3,train_legit_bakery3,6337.58,payout
tx_train_legit_1_2,2026-01-10T14:00:00,train_legit_bakery1,train_legit_dairy1,3128.07,payout
tx_train_legit_4_1,2026-01-10T16:00:00,train_legit_cafe4,train_legit_bakery4,7151.05,payout
tx_train_legit_5_1,2026-01-11T00:00:00,train_legit_cafe5,train_legit_bakery5,6360.84,payout
tx_train_legit_2_2,2026-01-11T05:00:00,train_legit_bakery2,train_legit_dairy2,1125.28,payout
tx_train_legit_3_2,2026-01-11T06:00:00,train_legit_bakery3,train_legit_dairy3,3837.25,payout
tx_train_legit_6_1,2026-01-11T08:00:00,train_legit_cafe6,train_legit_bakery6,5990.64,payout
tx_train_legit_5_2,2026-01-11T09:00:00,train_legit_bakery5,train_legit_dairy5,2809.13,payout
tx_train_legit_2_3,2026-01-11T13:00:00,train_legit_dairy2,train_legit_cafe2,1766.93,collection
tx_train_legit_0_3,2026-01-11T15:00:00,train_legit_dairy0,train_legit_cafe0,886.91,collection
tx_train_legit_7_1,2026-01-11T16:00:00,train_legit_cafe7,train_legit_bakery7,3366.6,payout
tx_train_legit_1_3,2026-01-11T20:00:00,train_legit_dairy1,train_legit_cafe1,400.79,collection
tx_train_legit_4_2,2026-01-11T22:00:00,train_legit_bakery4,train_legit_dairy4,1576.3,payout
tx_train_legit_8_1,2026-01-12T00:00:00,train_legit_cafe8,train_legit_bakery8,1496.0,payout
tx_train_legit_6_2,2026-01-12T01:00:00,train_legit_bakery6,train_legit_dairy6,3983.02,payout
tx_train_legit_4_3,2026-01-12T02:00:00,train_legit_dairy4,train_legit_cafe4,633.57,collection
tx_train_legit_9_1,2026-01-12T08:00:00,train_legit_cafe9,train_legit_bakery9,6652.48,payout
tx_train_legit_8_2,2026-01-12T12:00:00,train_legit_bakery8,train_legit_dairy8,1474.67,payout
tx_train_legit_7_2,2026-01-12T15:00:00,train_legit_bakery7,train_legit_dairy7,2438.73,payout
tx_train_legit_10_1,2026-01-12T16:00:00,train_legit_cafe10,train_legit_bakery10,1424.29,payout
tx_train_legit_9_2,2026-01-12T19:00:00,train_legit_bakery9,train_legit_dairy9,830.14,payout
tx_train_legit_11_1,2026-01-13T00:00:00,train_legit_cafe11,train_legit_bakery11,2949.82,payout
tx_train_legit_3_3,2026-01-13T00:00:00,train_legit_dairy3,train_legit_cafe3,1853.29,collection
tx_train_legit_12_1,2026-01-13T08:00:00,train_legit_cafe12,train_legit_bakery12,7484.57,payout
tx_train_legit_11_2,2026-01-13T12:00:00,train_legit_bakery11,train_legit_dairy11,3560.7,payout
tx_train_legit_6_3,2026-01-13T14:00:00,train_legit_dairy6,train_legit_cafe6,988.58,collection
tx_train_legit_13_1,2026-01-13T16:00:00,train_legit_cafe13,train_legit_bakery13,2856.42,payout
tx_train_legit_5_3,2026-01-13T18:00:00,train_legit_dairy5,train_legit_cafe5,497.23,collection
tx_train_legit_10_2,2026-01-13T20:00:00,train_legit_bakery10,train_legit_dairy10,1687.56,payout
tx_train_legit_12_2,2026-01-13T20:00:00,train_legit_bakery12,train_legit_dairy12,1082.09,payout
tx_train_legit_14_1,2026-01-14T00:00:00,train_legit_cafe14,train_legit_bakery14,3076.95,payout
tx_train_legit_10_3,2026-01-14T05:00:00,train_legit_dairy10,train_legit_cafe10,647.58,collection
tx_train_legit_14_2,2026-01-14T06:00:00,train_legit_bakery14,train_legit_dairy14,2527.13,payout
tx_train_legit_15_1,2026-01-14T08:00:00,train_legit_cafe15,train_legit_bakery15,7435.71,payout
tx_train_legit_11_3,2026-01-14T11:00:00,train_legit_dairy11,train_legit_cafe11,997.64,collection
tx_train_legit_7_3,2026-01-14T12:00:00,train_legit_dairy7,train_legit_cafe7,596.39,collection
tx_train_legit_8_3,2026-01-14T14:00:00,train_legit_dairy8,train_legit_cafe8,585.63,collection
tx_train_legit_16_1,2026-01-14T16:00:00,train_legit_cafe16,train_legit_bakery16,3826.43,payout
tx_train_legit_9_3,2026-01-14T18:00:00,train_legit_dairy9,train_legit_cafe9,837.74,collection
tx_train_legit_13_2,2026-01-14T22:00:00,train_legit_bakery13,train_legit_dairy13,3247.95,payout
tx_train_legit_17_1,2026-01-15T00:00:00,train_legit_cafe17,train_legit_bakery17,3214.59,payout
tx_train_legit_15_2,2026-01-15T05:00:00,train_legit_bakery15,train_legit_dairy15,1051.01,payout
tx_train_legit_18_1,2026-01-15T08:00:00,train_legit_cafe18,train_legit_bakery18,7503.13,payout
tx_train_legit_17_2,2026-01-15T13:00:00,train_legit_bakery17,train_legit_dairy17,1214.91,payout
tx_train_legit_16_2,2026-01-15T15:00:00,train_legit_bakery16,train_legit_dairy16,1361.75,payout
tx_train_legit_18_2,2026-01-15T15:00:00,train_legit_bakery18,train_legit_dairy18,532.6,payout
tx_train_legit_19_1,2026-01-15T16:00:00,train_legit_cafe19,train_legit_bakery19,1927.2,payout
tx_train_legit_13_3,2026-01-15T17:00:00,train_legit_dairy13,train_legit_cafe13,961.41,collection
tx_train_legit_12_3,2026-01-15T22:00:00,train_legit_dairy12,train_legit_cafe12,1066.45,collection
tx_train_legit_19_2,2026-01-16T08:00:00,train_legit_bakery19,train_legit_dairy19,3583.02,payout
tx_train_legit_14_3,2026-01-16T17:00:00,train_legit_dairy14,train_legit_cafe14,309.72,collection
tx_train_legit_15_3,2026-01-16T23:00:00,train_legit_dairy15,train_legit_cafe15,344.2,collection
tx_train_legit_17_3,2026-01-17T03:00:00,train_legit_dairy17,train_legit_cafe17,629.63,collection
tx_train_legit_16_3,2026-01-17T13:00:00,train_legit_dairy16,train_legit_cafe16,271.53,collection
tx_train_legit_19_3,2026-01-17T14:00:00,train_legit_dairy19,train_legit_cafe19,865.15,collection
tx_train_legit_18_3,2026-01-18T06:00:00,train_legit_dairy18,train_legit_cafe18,1997.22,collection
